TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
10.4874 -81.232 35.0 2994.56841842 -5525.58883884 1224.87997518
10.8208 -81.232 35.0 2979.59265265 -5499.62702703 1211.45532089
11.1542 -81.232 35.0 2905.36111111 -5350.38143143 1126.25486078
11.4877 -81.232 35.0 2770.16893894 -5097.87023023 953.287150688
11.8211 -81.232 35.0 2583.14638639 -4734.30469469 712.056821733
12.1545 -81.232 35.0 2369.33763764 -4340.95500501 424.803679317
12.4879 -81.232 35.0 2170.99304304 -3949.32302302 169.911214643
12.8213 -81.232 35.0 2136.12134134 -3889.29777778 96.4526024801
13.1547 -81.232 35.0 2047.81244244 -3710.64615616 -6.02190042693
13.4881 -81.232 35.0 2048.71412412 -3717.72256256 -21.4474867497
13.8216 -81.232 35.0 2015.49652653 -3648.62641642 -46.1865455232
14.155 -81.232 35.0 2006.79345345 -3628.10813814 -40.7604311586
14.4884 -81.232 35.0 1999.05454454 -3610.54977978 -29.1762405757
14.8218 -81.232 35.0 2007.07700701 -3628.33102102 -39.2618123786
15.1552 -81.232 35.0 2002.58765766 -3618.17958959 -34.8362402812
15.4886 -81.232 35.0 2002.37385385 -3618.04194194 -35.472055681
15.822 -81.232 35.0 2003.45762763 -3620.36906907 -35.9919335237
16.1554 -81.232 35.0 1997.97339339 -3608.12077077 -31.1653325418
16.4889 -81.232 35.0 1996.56987988 -3604.67279279 -24.2836586923
16.8223 -81.232 35.0 2001.66131131 -3615.82592593 -31.2923752159
17.1557 -81.232 35.0 1999.55707708 -3610.24973974 -25.3633187939
17.4891 -81.232 35.0 2002.9722022 -3618.35798799 -29.9864264447
17.8225 -81.232 35.0 2003.45726727 -3620.41432432 -29.9287312031
18.1559 -81.232 35.0 2006.32728729 -3626.77771772 -35.7530893442
18.4893 -81.232 35.0 2004.33818819 -3622.70673674 -33.9436344012
18.8228 -81.232 35.0 2012.06457457 -3638.9175976 -39.675199907
19.1562 -81.232 35.0 2007.71813814 -3628.93376376 -35.3079653018
19.4896 -81.232 35.0 2005.69698699 -3624.02827828 -35.5787368737
19.823 -81.232 35.0 1996.55923924 -3603.45173173 -25.852764963
20.1564 -81.232 35.0 1992.27119119 -3595.10021021 -23.8242566476
20.4898 -81.232 35.0 1992.68183183 -3595.50605606 -19.2750468351
20.8232 -81.232 35.0 1994.15366366 -3599.11858859 -19.8782127134
21.1567 -81.232 35.0 1992.49268268 -3595.45202202 -16.3628301579
21.4901 -81.232 35.0 1996.17776777 -3602.93246246 -13.6830577586
21.8235 -81.232 35.0 1988.9425025 -3587.67165165 -11.9041569055
22.1569 -81.232 35.0 1996.64094094 -3604.52192192 -14.5866332853
22.4903 -81.232 35.0 1998.71061061 -3607.86886887 -11.4703979025
22.8237 -81.232 35.0 2007.09283283 -3625.59560561 -16.7404868062
23.1571 -81.232 35.0 2000.22881882 -3609.39355355 -11.7304751817
23.4906 -81.232 35.0 2003.88348348 -3617.3873974 -11.9311523233
23.824 -81.232 35.0 1996.07384384 -3599.57402402 -6.69509878248
24.1574 -81.232 35.0 2010.62651652 -3631.22700701 -5.84469290731
24.4908 -81.232 35.0 2006.75196196 -3623.23479479 -4.45749236456
24.8242 -81.232 35.0 2016.18516517 -3644.05668669 -5.32267291279
25.1576 -81.232 35.0 2012.64991992 -3635.86452452 5.73669247237
25.491 -81.232 35.0 2027.86354354 -3666.00376376 14.6492734723
25.8244 -81.232 35.0 2025.49827828 -3658.26511512 23.5193791078
26.1579 -81.232 35.0 2034.32408408 -3676.47014014 27.7620119803
26.4913 -81.232 35.0 2035.44167167 -3678.82623624 33.5819499871
26.8247 -81.232 35.0 2042.16503504 -3693.37321321 33.872700558
27.1581 -81.232 35.0 2031.56293293 -3672.47606607 39.0317890262
